"","std","samp.depth"
"1917",0.946486926595613,8
"1918",0.957307528159386,8
"1919",1.31212464763349,8
"1920",0.977496258128513,8
"1921",1.46070491446296,8
"1922",0.822255961252438,8
"1923",0.897897605069207,8
"1924",0.841974977903704,8
"1925",0.72470970803088,8
"1926",0.887016036785564,8
"1927",0.731244229681327,8
"1928",0.741553452216275,8
"1929",0.904943773156146,8
"1930",0.973959036034756,8
"1931",1.16559884960607,8
"1932",1.21201531364834,8
"1933",1.12630347072347,8
"1934",0.843162838190417,8
"1935",1.1896531394379,8
"1936",0.877397004098875,8
"1937",1.1077109554748,8
"1938",1.0995612773356,8
"1939",1.0427786148047,8
"1940",1.0845746397441,8
"1941",1.05926031201627,8
"1942",1.05497213114864,7
"1943",1.0462987426141,8
"1944",1.01060151118175,8
"1945",0.959416335019368,8
"1946",0.819271223767577,8
"1947",1.17023366621058,8
"1948",1.33534671335014,8
"1949",1.58453504891632,8
"1950",0.816886824348065,8
"1951",0.495934480931,8
"1952",0.616572936589496,8
"1953",0.76838890401239,8
"1954",0.831815877661114,8
"1955",0.866100626935962,8
"1956",0.6106438350538,8
"1957",0.782301371473825,8
"1958",0.908571065793196,8
"1959",0.77643915244157,8
"1960",1.0488013283464,8
"1961",1.1142323457891,8
"1962",1.14151815646962,8
"1963",0.923248781443421,7
"1964",0.972328746086422,7
"1965",1.27198714726078,8
"1966",1.09212828313118,8
"1967",1.23328239924864,8
"1968",1.02479761692245,8
"1969",1.52419345149798,8
"1970",1.55448247370217,8
"1971",0.6632137237513,8
"1972",0.562135553418353,8
"1973",0.821694156547298,8
"1974",0.705626934331673,8
"1975",1.1141731985051,8
"1976",0.829554513889511,8
"1977",0.723356080157857,8
"1978",0.767913739641327,8
"1979",0.952365106232789,8
"1980",0.910962073529876,8
"1981",0.884560269705558,8
"1982",1.05554923786955,8
"1983",1.17041064478934,8
"1984",1.06575295640781,8
"1985",1.20435373189479,8
"1986",1.16043249712537,8
"1987",0.979327437831121,8
"1988",0.976280324645461,8
"1989",0.768688831950586,8
"1990",0.918332117392277,8
"1991",1.10095414079614,8
"1992",1.35085136693278,7
"1993",1.06314342948421,8
"1994",1.09590978684683,8
"1995",1.29839538841006,7
"1996",1.03534572727022,8
"1997",1.22818266534703,8
"1998",0.781103383237521,8
"1999",1.25199437521534,8
"2000",0.738225101982537,8
"2001",0.880899552022552,8
"2002",0.278166630269983,8
"2003",0.745708744316939,8
"2004",1.00981831407177,8
"2005",1.05778601538122,8
"2006",0.857452865160835,8
"2007",1.26212582528888,8
"2008",1.19066450801835,7
"2009",1.38430299150947,8
"2010",1.28290654201137,8
"2011",0.626082081348419,8
"2012",0.606975275626523,8
"2013",0.696986826164335,8
"2014",0.783987129454011,8
"2015",1.05098458326194,8
"2016",1.39970075498253,8
"2017",1.09787084654358,8
