"","std","samp.depth"
"1917",0.945887018382577,10
"1918",0.967131284241395,10
"1919",1.06409204101244,10
"1920",1.03656107220046,10
"1921",1.02076976293148,9
"1922",1.15949698718197,9
"1923",0.925246185383316,10
"1924",0.748331603568697,10
"1925",1.03456801383602,9
"1926",1.03550875223018,8
"1927",0.940342208676496,10
"1928",0.881046103162329,10
"1929",1.18757024443426,10
"1930",1.18518704832164,10
"1931",1.25674862668538,10
"1932",1.01461749447424,10
"1933",1.03080049155791,10
"1934",0.824227598178247,9
"1935",0.742309444180343,10
"1936",0.808536257165472,10
"1937",1.00144059457689,10
"1938",0.960476764564318,10
"1939",0.680448677473603,10
"1940",0.84062031982933,10
"1941",1.17217389635642,10
"1942",1.08037823329625,10
"1943",1.02322663971051,10
"1944",1.05325834699876,10
"1945",0.985339386735002,10
"1946",0.938857162600897,10
"1947",1.35886623610684,10
"1948",1.23112358852421,10
"1949",1.15996548671663,10
"1950",0.941914360044833,10
"1951",0.925596261255462,10
"1952",0.612454697918135,10
"1953",0.893011405387015,10
"1954",0.948557418228381,10
"1955",1.05881229642472,10
"1956",0.901972294950832,10
"1957",0.886176590299229,10
"1958",0.921668047669654,10
"1959",1.15669323727682,10
"1960",1.06424917975528,10
"1961",1.04941226363767,10
"1962",0.956773791191753,10
"1963",1.08709920683395,10
"1964",1.00059635996674,10
"1965",1.03060806184999,10
"1966",1.07965888480188,10
"1967",0.95292002422835,10
"1968",1.00808304301676,10
"1969",1.10893128958815,10
"1970",0.95547413967897,10
"1971",0.84884453590174,10
"1972",0.906791283526562,10
"1973",0.850437290170777,10
"1974",0.932796517295111,10
"1975",1.11429055356015,10
"1976",1.09990879657597,10
"1977",1.08699129435451,10
"1978",0.791093587270369,10
"1979",0.84996855959379,10
"1980",0.826638555597044,10
"1981",1.0754736503947,10
"1982",1.23377035851999,10
"1983",1.06066872290011,10
"1984",1.02847545082003,10
"1985",0.990942641461588,10
"1986",0.941450679011225,10
"1987",0.96535942520743,10
"1988",1.00682328088059,10
"1989",0.994833171281168,10
"1990",0.992352561163098,10
"1991",1.06317570908285,10
"1992",1.02101663903848,10
"1993",1.16319235837206,10
"1994",0.870592550276042,10
"1995",0.974241020026375,9
"1996",0.835030614050199,10
"1997",0.936745682437517,9
"1998",1.07188423084259,10
"1999",1.04479002092292,10
"2000",0.831214494346296,10
"2001",1.02255859601398,10
"2002",0.928854281428369,10
"2003",0.809490550846367,10
"2004",0.967954574378991,10
"2005",1.27908946813677,10
"2006",1.00229761188124,10
"2007",1.17498388555144,10
"2008",0.964891406982037,9
"2009",1.05716003380898,10
"2010",1.17711775647023,10
"2011",0.616473363917682,10
"2012",0.596088746292443,10
"2013",0.864006291057825,10
"2014",1.04129377710133,10
"2015",1.23672925493283,10
"2016",1.01268442190668,10
"2017",1.11767169961718,10
