YEAR,LCP_009A,LCP_010A,LCP_011A,LCP_015A,LCP_016B,LCP_017B,LCP_023A,LCP_049A,LCP_051B,LCP_12B
1971,4.47,4.13,3.75,4.2275,4.3775,4.04,3.53,4.23,4.03,4.0525
1972,4.525,3.84,3.835,4.275,5.2,3.97,3.57,4.45,4.04,4.05
1973,4.6425,3.97,3.815,4.19,4.715,4.14,3.46,4.52,3.97,4.325
1974,4.46,4.0,3.73,3.9,4.59,3.835,3.53,4.41,4.31,5.02
1975,4.195,4.1,3.24,4.0,4.3,3.635,3.57,4.335,3.885,4.41
1976,4.37,4.24,3.72,4.275,4.95,3.8125,3.6125,4.6975,3.75,4.85
1977,4.455,4.135,3.97,4.63,4.85,4.41,3.87,4.985,3.9975,5.04
1978,3.8825,4.05,3.53,4.22,4.545,3.84,3.3925,4.3325,3.82,4.3575
1979,4.325,4.325,3.8075,4.255,5.2425,4.26,3.73,4.66,3.97,5.105
1980,4.435,4.1,3.85,4.32,4.82,4.24,3.7875,4.7975,4.145,5.05
1981,4.14,3.7075,3.46,3.8975,4.255,3.955,3.78,4.52,3.55,4.915
1982,4.17,3.97,3.53,4.45,4.445,3.1975,3.855,5.02,3.6425,4.85
1983,3.97,3.92,3.81,4.3625,4.9325,4.405,3.8425,5.0325,3.86,4.67
1984,4.1175,3.8625,3.695,4.075,4.65,4.41,3.6025,4.5825,3.675,4.855
1985,4.05,3.9675,3.6775,4.02,4.98,4.63,3.785,4.465,3.6675,4.585
1986,3.98,3.765,3.5575,4.195,4.85,3.95,3.74,4.83,3.5725,5.0825
1987,3.91,4.01,3.405,3.92,4.1575,4.015,3.78,4.625,4.09,5.1075
1988,4.1225,4.0925,3.77,4.38,4.715,4.185,3.89,4.82,3.79,5.375
1989,4.32,4.0725,3.7425,4.05,4.59,4.5875,3.8,4.55,3.975,4.925
1990,3.835,3.97,3.77,4.13,4.3525,4.47,3.75,4.11,3.3475,4.62
1991,4.1125,4.01,3.67,4.13,4.41,4.185,3.855,4.18,3.725,4.5325
1992,4.8225,4.01,3.53,4.34,4.925,4.15,3.97,4.2525,3.71,4.41
1993,4.16,3.76,3.56,3.725,3.97,3.97,3.5725,4.18,3.59,4.0725
1994,4.41,4.0,3.75,4.35,4.92,4.4175,3.87,4.21,4.13,4.41
1995,4.07,3.87,3.2725,3.375,5.135,3.84,4.115,4.66,3.6225,3.795
1996,4.86,4.25,3.885,4.61,5.35,4.595,4.07,4.69,4.19,4.745
1997,4.135,4.13125,3.4125,4.3,4.72,4.55,3.87,4.7075,4.035,4.545
1998,4.5,4.0125,3.47,4.365,4.61,4.55,3.855,4.41,3.925,4.3725
1999,4.17,3.7775,3.57,4.23,4.4675,4.75,3.945,4.51,4.01,4.47
2000,4.0125,4.2575,3.64,5.2225,4.8025,4.89,3.725,4.41,4.175,5.05
2001,4.06,3.99,3.6175,4.813750000000001,4.185,4.355,4.085,4.2575,3.845,4.345
2002,4.41,4.1075,3.53,4.405,4.96,4.655,4.06,4.36,3.985,5.11
2003,3.82,3.95,3.42,3.5925,4.225,3.9725,4.41,4.7075,3.8675,4.62
2004,4.3425,3.825,3.735,3.75,4.55,4.1925,3.96,4.72,3.97,4.35
2005,4.51,4.29,3.925,4.1,4.71,4.79,4.64,4.775,4.41,4.6075
2006,4.25,3.715,3.66,4.02,4.3725,4.41,4.02,4.405,4.23,4.69
2007,4.32,3.97,3.79,4.155,4.9675,4.41,4.235,4.705,4.2625,4.78
2008,3.58,3.67,3.53,3.43,4.05,4.08,3.8025,4.41,3.97,4.21
2009,4.1275,4.105,3.79,4.04,5.12,4.66,3.7825,4.115,4.035,4.895
2010,4.09,3.9925,4.045,3.91,5.3225,4.6875,4.1825,4.9175,4.2625,4.85
2011,3.905,4.15,3.8475,4.08,4.525,4.28,3.68,4.1,4.24,4.8975
2012,3.74,3.75,3.7,3.97,4.92,4.32,3.93,3.97,4.04,5.0
2013,4.0925,4.195,3.97,4.02,4.915,4.08,4.03,4.41,4.06,4.805
2014,3.95,3.82,3.52,3.61,4.35,4.32,4.055,4.34,3.53,4.42
2015,3.9175,3.84,3.6,3.97,4.61,4.4775,4.3675,4.155,3.9125,4.65
2016,3.87,3.9975,3.37,3.57,4.33,3.99,3.825,4.02,3.97,4.85
2017,4.16,3.9125,3.53,3.5625,4.78,4.395,4.04,4.645,4.06,5.07
